"","ID","TYPE","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","GOV_TYPE","MANG_AUTH","STATUS","STATUS_YR","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","DESIG_TYPE","IUCN_CAT","DESIG_ENG","INT_CRIT","MARINE","NO_TAKE","NO_TK_AREA","OWN_TYPE","SUB_LOC","PARENT_ISO3","ISO3","collab_gov","transboundary","private","nonprofit","local","indigenous","sub_national","federal","missing","gov_clean"
"3",55024,"Polygon",21225,"21225",1,"Acambuco","Acambuco","Sub-national ministry or agency","Not Reported","Designated",2004,0,0,82.66,80.42385415,"National","Reserva de Flora y Fauna","Flora and Fauna Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"7",55008,"Polygon",555587155,"555587155",1,"Afloramiento Limoso","Afloramiento Limoso","Sub-national ministry or agency","Not Reported","Designated",2002,0,0,12,6.570699994,"National","Paisaje Protegido","Protected Landscape","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-J","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"8",54995,"Polygon",19633,"19633",1,"Agua Dulce","Agua Dulce","Sub-national ministry or agency","Not Reported","Designated",1970,0,0,90.1402,79.65349586,"National","Reserva de Caza","Hunting Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"9",54838,"Polygon",21213,"21213",1,"Aguaray-mí","Aguaray-mí","Private Landowners","Not Reported","Designated",1988,0,0,47.69,32.80354227,"National","Reserva Privada","Private Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"11",55034,"Polygon",32517,"32517",1,"Alejandro Orloff  Saltitos","Alejandro Orloff  Saltitos","Sub-national ministry or agency","Not Reported","Designated",1997,0,0,4.09,3.31805092,"National","Reserva de Uso Múltiple","Multiple Use Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"15",54834,"Polygon",555587056,"555587056",1,"Andres Giai","Andres Giai","Private Landowners","Not Reported","Designated",1997,0,0,0.12,0.1176094892,"National","Paisaje Protegido","Protected Landscape","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"16",55044,"Polygon",555587076,"555587076",1,"Angastaco","Angastaco","Sub-national ministry or agency","Not Reported","Designated",1995,0,0,131.75,137.9951504,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-A","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"17",54885,"Polygon",300019,"300019",1,"Apipé Grande","Apipé Grande","Sub-national ministry or agency","Not Reported","Designated",1994,0,0,27.5,47.25473185,"National","Reserva Natural Provincial","Provincial Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-W","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"18",54833,"Polygon",30832,"30832",1,"Araucaria","Araucaria","Sub-national ministry or agency","Not Reported","Designated",1991,0,0,0.92,0.9214624178,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-N","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"21",54900,"Polygon",555587104,"555587104",1,"Arroyo El Durazno","Arroyo El Durazno","Private Landowners","Not Reported","Designated",2011,0,0,5.14,4.419346871,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"22",54890,"Polygon",555558365,"555558365",1,"Arroyo Los Gauchos","Arroyo Los Gauchos","Sub-national ministry or agency","Not Reported","Designated",2011,0,0,7.7,5.665706649,"National","Reserva Natural de Uso Múltiple","Multiple Use Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"23",54882,"Polygon",555587086,"555587086",1,"Arroyo Ramirez","Arroyo Ramirez","Sub-national ministry or agency","Not Reported","Designated",1967,0,0,1.8,2.19838289,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"26",54894,"Polygon",555558341,"555558341",1,"Arroyo Zabala","Arroyo Zabala","Sub-national ministry or agency","Not Reported","Designated",2001,12,8.248815255,18.47,15.82773313,"National","Reserva Natural de Uso Múltiple","Multiple Use Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"27",61229,"Polygon",555624160,"555624160",1,"Ascochinga","Ascochinga","Federal or national ministry or agency","Fuerza Áerea Argentina","Designated",2014,0,0,33.89,34.08118384,"National","Reserva Natural de la Defensa","Nature Reserve of Defense","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-X","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"30",54884,"Polygon",555558356,"555558356",1,"Aves Migratorias","Aves Migratorias","Sub-national ministry or agency","Not Reported","Designated",2001,0,12.93832141,26.9,58.73934401,"National","Reserva Provincial","Provincial Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"31",54912,"Polygon",555587111,"555587111",1,"Azul","Azul","Sub-national ministry or agency","Not Reported","Designated",2003,0,0,131.55,71.90061718,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-R","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"36",54972,"Polygon",16899,"16899",1,"Bahía Laura","Bahía Laura","Sub-national ministry or agency","Not Reported","Designated",1977,0,33.60988035,16.57,51.7964002,"National","Reserva Natural Intangible","Intangible Nature Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"39",54970,"Polygon",555558354,"555558354",1,"Bahía San Julián","Bahía San Julián","Private Landowners","Not Reported","Designated",1990,25,23.97512796,33.97,28.53077583,"National","Área de Uso Limitado Bajo Protección Especial","Limited Use Area Under Special Protection","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"44",54976,"Polygon",555558349,"555558349",1,"Barco Hundido","Barco Hundido","Sub-national ministry or agency","Not Reported","Designated",2002,0,90.62360224,103.7,111.2784867,"National","Reserva Provincial","Provincial Reserve","Not Applicable",1,"Not Reported",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"46",54898,"Polygon",555587102,"555587102",1,"Barranca Norte","Barranca Norte","Private Landowners","Not Reported","Designated",2011,0,0,1.17,1.175894167,"National","Reserva Natural","Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,1,0,0,0,0,0,0,"private"
"47",54906,"Polygon",16874,"16874",1,"Batea Mahuida","Batea Mahuida","Sub-national ministry or agency","Not Reported","Designated",1968,0,0,12.06,20.45768113,"National","Reserva Forestal","Forest Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"48",61230,"Polygon",555624158,"555624158",1,"Baterías - Charles Darwin","Baterías - Charles Darwin","Federal or national ministry or agency","Armada Argentina","Designated",2013,0,0,10,10.12771418,"National","Reserva Natural de la Defensa","Nature Reserve of Defense","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-B","ARG","ARG",0,0,0,0,0,0,0,1,0,"federal"
"49",52819,"Polygon",555587139,"555587139",1,"Bloque Herratico","Bloque Herratico","Sub-national ministry or agency","Not Reported","Designated",2009,0,0,0,26.24118418,"National","Monumento Natural","Nature Monument","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Z","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"50",54880,"Polygon",555587084,"555587084",1,"Boca de la Laguna Herradura","Boca de la Laguna Herradura","Sub-national ministry or agency","Not Reported","Designated",1967,0,0,1.87,2.200429586,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"51",54961,"Polygon",555587131,"555587131",1,"Boca del Chimehuin","Boca del Chimehuin","Sub-national ministry or agency","Not Reported","Designated",2000,0,0,15,18.30397343,"National","Parque Provincial","Provincial Park","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-Q","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"52",54881,"Polygon",555587085,"555587085",1,"Boca del Rio Bermejo","Boca del Rio Bermejo","Sub-national ministry or agency","Not Reported","Designated",1971,0,0,1.7,3.588108385,"National","Reserva de Pesca","Fisheries Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-P","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
"54",54967,"Polygon",61847,"61847",1,"Bosque Petrificado Sarmiento","Bosque Petrificado Sarmiento","Sub-national ministry or agency","Not Reported","Designated",1973,0,0,18.32,18.8593995,"National","Reserva Natural Turística","Tourist Nature Reserve","Not Applicable",0,"Not Applicable",0,"Not Reported","AR-U","ARG","ARG",0,0,0,0,0,0,1,0,0,"subnational"
