"","ID","TYPE","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","GOV_TYPE","MANG_AUTH","STATUS","STATUS_YR","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","DESIG_TYPE","IUCN_CAT","DESIG_ENG","INT_CRIT","MARINE","NO_TAKE","NO_TK_AREA","OWN_TYPE","SUB_LOC","PARENT_ISO3","ISO3","collab_gov","transboundary","private","nonprofit","local","indigenous","sub_national","federal","missing","gov_clean","estado"
"4776",193852,"Polygon",108089,"108089",1,"Tiacaque","Tiacaque","Sub-national ministry or agency","Not Reported","Designated",1993,0,0,0.0605560278,0.06091209471,"National","Not Reported","Protected Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-MEX","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Estado de Mexico"
"4777",193923,"Polygon",555621929,"555621929",1,"Cerro Zapotecas","Cerro Zapotecas","Sub-national ministry or agency","Not Reported","Designated",2008,0,0,5.355203537,5.387266771,"National","Not Reported","Protected Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-PUE","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Puebla"
"4778",193610,"Polygon",107546,"107546",1,"Barranca Río La Pastora, R. La Loma y R. San Joaquín","Barranca Río La Pastora, R. La Loma y R. San Joaquín","Sub-national ministry or agency","Not Reported","Designated",2005,0,0,1.288176502,1.295955326,"National","Not Reported","Area Subject to Ecological Conservation","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-MEX","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Estado de Mexico"
"4779",193611,"Polygon",107549,"107549",1,"Barrancas Huizachal, Arroyo Santa Cruz y A. Plan de Zanja","Barrancas Huizachal, Arroyo Santa Cruz y A. Plan de Zanja","Sub-national ministry or agency","Not Reported","Designated",2004,0,0,0.687593027,0.6917382099,"National","Not Reported","Area Subject to Ecological Conservation","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-MEX","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Estado de Mexico"
"4783",193920,"Polygon",555621927,"555621927",1,"Milpa Alta","Milpa Alta","Sub-national ministry or agency","Not Reported","Designated",2010,0,0,49.11846524,49.41774001,"National","Not Reported","Protected Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-CMX","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Estado de Mexico"
"4784",193868,"Polygon",107597,"107597",1,"Cerro La Galaxia","Cerro La Galaxia","Sub-national ministry or agency","Not Reported","Designated",1987,0,0,0.3450669843,0.3467450156,"National","Not Reported","Ecological Conservation Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-VER","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Veracruz"
"4785",188994,"Polygon",555599658,"555599658",1,"Cerro Mohinora","Cerro Mohinora","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2015,0,0,91.26357,91.62879953,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-CHH","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Chihuahua"
"4786",190978,"Polygon",306849,"306849",1,"Sierra de Quila","Sierra de Quila","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,0,0,151.925,142.4821161,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-JAL","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Jalisco"
"4787",191445,"Polygon",107556,"107556",1,"Boquerón de Tonalá","Boquerón de Tonalá","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2008,0,0,39.12316,39.35851622,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-OAX","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Oaxaca"
"4792",192620,"Polygon",555587175,"555587175_A",1,"La porción norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel","La porción norte y la franja costera oriental, terrestres y marinas de la Isla de Cozumel - Zona Núcleo","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2012,0,0,34.017,39.01816107,"National","Ia","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-ROO","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Quintana Roo"
